Gen	Min	Max	AVG
0	1188.0377737067247	3998.8379251856027	3507.645888912436
1	3793.9475698098895	3999.219332273024	3927.3304897009284
2	3945.3608691426325	3999.5144395574403	3979.8522190446847
3	3981.321769231526	3999.658075466677	3992.446154502299
4	3992.5700579046306	3999.7669558282837	3996.814178910918
5	3996.732003605563	3999.794472406517	3998.397095551766
6	3998.2224353910865	3999.8197682134037	3999.0543745050118
7	3998.934085563847	3999.8409263487006	3999.3764752236416
8	3999.361381452594	3999.8590394892335	3999.542340801455
9	3999.4931907560535	3999.8627356148336	3999.6244119024504
10	3999.583525650561	3999.8676021508827	3999.698081328044
11	3999.6787251123433	3999.880650728266	3999.7521240482315
12	3999.7266163163204	3999.91287505136	3999.791945132165
13	3999.7822959326	3999.913910801127	3999.828296108057
14	3999.8130623512666	3999.915673948696	3999.8525667883728
15	3999.8423713013926	3999.9177710477393	3999.8674528449474
16	3999.85761257104	3999.9183500181393	3999.882041932679
17	3999.8798307244806	3999.9187709206894	3999.8971467212095
18	3999.89132908576	3999.9199945436226	3999.9098416931874
19	3999.9139912429932	3999.921396450722	3999.9156391674214
20	3999.9154771744593	3999.9215992507225	3999.917112741283
21	3999.9166575214426	3999.9216512507223	3999.9180415959268
22	3999.9171279569096	3999.9218618802724	3999.919221184967
23	3999.9189204347763	3999.9219402712592	3999.9204693671927
24	3999.9202607195257	3999.921945548909	3999.9214070922376
25	3999.9213288571723	3999.922116340643	3999.9216407466915
26	3999.921640157389	3999.92220737126	3999.9217198951096
27	3999.921640157389	3999.9228190939302	3999.9218024240618
28	3999.9217072722686	3999.92371940625	3999.9220005926113
29	3999.9218704426726	3999.9238112846497	3999.9221775758124
30	3999.9221094096592	3999.923949537983	3999.9223066957334
31	3999.9221094096592	3999.9240002695033	3999.922493567229
32	3999.922116340643	3999.9240982995834	3999.922754549838
33	3999.922705800643	3999.9241052329166	3999.923190442746
34	3999.922886055313	3999.9249598862502	3999.923463993897
35	3999.923671648966	3999.9249598862502	3999.923852396498
36	3999.923671648966	3999.9249960595835	3999.9240362483947
37	3999.9239009329162	3999.9250244729174	3999.9242577197892
38	3999.9241052329166	3999.925030776914	3999.9245872557967
39	3999.9249598862502	3999.925188712644	3999.9249678528045
40	3999.9249598862502	3999.9252009926436	3999.9249753763775
41	3999.9249598862502	3999.9252009926436	3999.924992104826
42	3999.9249726995836	3999.9252009926436	3999.925021096558
43	3999.92499804625	3999.9252511408604	3999.92504807934
44	3999.925029050247	3999.9252511408604	3999.925095364035
45	3999.925056605977	3999.9252511408604	3999.925168160265
46	3999.925188712644	3999.9252511408604	3999.925209777278
47	3999.9252009926436	3999.9252511408604	3999.925216447425
48	3999.9252009926436	3999.92527989478	3999.9252336588333
49	3999.9252315824606	3999.9253906983504	3999.925251585002
50	3999.9252511408604	3999.925398916	3999.9252563124346
51	3999.9252511408604	3999.925398916	3999.9252622717268
52	3999.9252511408604	3999.925398916	3999.9252741757573
53	3999.9252511408604	3999.925398916	3999.9253022178755
54	3999.9252511408604	3999.925398916	3999.92535902699
55	3999.9253906983504	3999.925426481017	3999.9253943723575
56	3999.9253906983504	3999.9254274410173	3999.9253982841515
57	3999.925398916	3999.925461541017	3999.9254019692685
58	3999.925398916	3999.925461541017	3999.925405525669
59	3999.925398916	3999.925497641547	3999.9254156795923
60	3999.925398916	3999.925497641547	3999.925429970185
61	3999.925426481017	3999.925497641547	3999.925464166701
62	3999.925461541017	3999.9255651815433	3999.9254751659964
63	3999.925461541017	3999.9255651815433	3999.925485858145
64	3999.925497641547	3999.9255651815433	3999.925500160346
65	3999.925497641547	3999.9255651815433	3999.925503445946
66	3999.925497641547	3999.9256217711436	3999.9255117329376
67	3999.925497641547	3999.92562955781	3999.9255240814705
68	3999.925526841547	3999.925638744477	3999.925549016403
69	3999.9255651815433	3999.925638744477	3999.9255702168603
70	3999.9255651815433	3999.92566275781	3999.92557239446
71	3999.9255651815433	3999.92566275781	3999.925578409644
72	3999.9255651815433	3999.92566275781	3999.925589051687
73	3999.9255821548772	3999.92566275781	3999.925604928466
74	3999.9255821548772	3999.925698765597	3999.925628422211
75	3999.925638744477	3999.925698765597	3999.9256481094326
76	3999.925638744477	3999.9259315311438	3999.92566645161
77	3999.92566275781	3999.9259315311438	3999.925672454211
78	3999.92566275781	3999.9259413911436	3999.9256860729897
79	3999.92566275781	3999.9259437178107	3999.925707391136
80	3999.92566275781	3999.9259437178107	3999.9257378827274
81	3999.925698765597	3999.9259437178107	3999.9257736979625
82	3999.925698765597	3999.9259437178107	3999.925856440805
83	3999.925921032264	3999.9259510778106	3999.925931984613
84	3999.9259315311438	3999.9259510778106	3999.92594024101
85	3999.9259437178107	3999.9259510778106	3999.92594445381
86	3999.9259437178107	3999.9259817444768	3999.9259456559435
87	3999.9259437178107	3999.926046267357	3999.9259481240015
88	3999.9259437178107	3999.926046267357	3999.9259539040586
89	3999.9259510778106	3999.926046267357	3999.9259609799797
90	3999.9259510778106	3999.926046267357	3999.925973347304
91	3999.9259510778106	3999.926046267357	3999.925997551783
92	3999.9259817444768	3999.926046267357	3999.9260354078947
93	3999.9260421091735	3999.926046267357	3999.9260432734645
94	3999.9260421091735	3999.926046947357	3999.9260445345194
95	3999.926046267357	3999.926046947357	3999.9260462809566
96	3999.926046267357	3999.926046947357	3999.9260462945563
97	3999.926046267357	3999.926046947357	3999.9260463625565
98	3999.926046267357	3999.926046947357	3999.9260463897567
99	3999.926046267357	3999.926046947357	3999.9260465257566
